100,Bubble Sort,42
100,Selection Sort,41
100,Insertion Sort,84
100,Merge Sort,41
100,Quick Sort,0
100,Heap Sort,83
1000,Bubble Sort,41
1000,Selection Sort,42
1000,Insertion Sort,42
1000,Merge Sort,41
1000,Quick Sort,42
1000,Heap Sort,42
10000,Bubble Sort,42
10000,Selection Sort,83
10000,Insertion Sort,42
10000,Merge Sort,41
10000,Quick Sort,41
10000,Heap Sort,42
50000,Bubble Sort,42
50000,Selection Sort,42
50000,Insertion Sort,42
50000,Merge Sort,42
50000,Quick Sort,42
50000,Heap Sort,42
100000,Bubble Sort,83
100000,Selection Sort,42
100000,Insertion Sort,41
100000,Merge Sort,41
100000,Quick Sort,3000
100000,Heap Sort,84
100,Bubble Sort,84
100,Selection Sort,42
100,Insertion Sort,83
100,Merge Sort,83
100,Quick Sort,42
100,Heap Sort,83
1000,Bubble Sort,42
1000,Selection Sort,42
1000,Insertion Sort,83
1000,Merge Sort,83
1000,Quick Sort,41
1000,Heap Sort,41
10000,Bubble Sort,41
10000,Selection Sort,41
10000,Insertion Sort,41
10000,Merge Sort,42
10000,Quick Sort,42
10000,Heap Sort,42
50000,Bubble Sort,83
50000,Selection Sort,41
50000,Insertion Sort,41
50000,Merge Sort,42
50000,Quick Sort,41
50000,Heap Sort,83
100000,Bubble Sort,41
100000,Selection Sort,42
100000,Insertion Sort,83
100000,Merge Sort,41
100000,Quick Sort,3042
100000,Heap Sort,42
100,Bubble Sort,84
100,Selection Sort,42
100,Insertion Sort,42
100,Merge Sort,42
100,Quick Sort,42
100,Heap Sort,42
1000,Bubble Sort,83
1000,Selection Sort,41
1000,Insertion Sort,42
1000,Merge Sort,42
1000,Quick Sort,41
1000,Heap Sort,42
10000,Bubble Sort,84
10000,Selection Sort,42
10000,Insertion Sort,41
10000,Merge Sort,41
10000,Quick Sort,42
10000,Heap Sort,42
50000,Bubble Sort,41
50000,Selection Sort,41
50000,Insertion Sort,42
50000,Merge Sort,42
50000,Quick Sort,42
50000,Heap Sort,83
100000,Bubble Sort,41
100000,Selection Sort,42
100000,Insertion Sort,42
100000,Merge Sort,83
100000,Quick Sort,2917
100000,Heap Sort,83
100,Bubble Sort,42
100,Selection Sort,42
100,Insertion Sort,42
100,Merge Sort,42
100,Quick Sort,41
100,Heap Sort,41
1000,Bubble Sort,41
1000,Selection Sort,42
1000,Insertion Sort,42
1000,Merge Sort,41
1000,Quick Sort,41
1000,Heap Sort,41
10000,Bubble Sort,42
10000,Selection Sort,42
10000,Insertion Sort,42
10000,Merge Sort,42
10000,Quick Sort,42
10000,Heap Sort,42
50000,Bubble Sort,42
50000,Selection Sort,41
50000,Insertion Sort,42
50000,Merge Sort,42
50000,Quick Sort,42
50000,Heap Sort,42
100000,Bubble Sort,42
100000,Selection Sort,41
100000,Insertion Sort,42
100000,Merge Sort,83
100000,Quick Sort,83
100000,Heap Sort,83
